Kraj;Rok;PKB_per_capita;Total fixed assets (gross);Labor force, total;nakl_op;naklady_edu
Italy;2012;36486,29679;297404,8;25033693;0,641295;0,6018897
Italy;2013;36314,6971;277467,2;25171796;0,6445709;0,6276676
Italy;2014;36194,87392;272137,5;25569875;0,6306764;0,6072653
Italy;2015;36899,38521;280342,1;25540323;0,6193513;0,5687661
Italy;2016;39926,95466;291183,5;25812534;0,6018897;0,5426367
Italy;2017;41581,12079;303569,9;25985393;0,6276676;0,5551374
Poland;2012;23745,6978;77055;18227655;1,019805;0,9844868
Poland;2013;24567,50617;74257,3;18269724;1,034234;1,070534
Poland;2014;25475,50469;81110,1;18388510;1,0124;1,050432
Poland;2015;26862,05252;86396,1;18315209;0,9609058;1,085285
Poland;2016;28322,10698;76781;18378290;0,9844868;0,931963
Poland;2017;30064,50348;81920,4;18444328;1,070534;0,9533964
Spain;2012;31720,12;191038;23582846;0,9418286;0,9129882
Spain;2013;32434,0032;177240;23385043;1,018049;0,8837213
Spain;2014;33525,74063;183515;23181794;1,03082;0,8574864
Spain;2015;34903,12748;194122;23116192;1,005349;0,8518408
Spain;2016;37286,21343;200048;23102718;0,9129882;0,8172237
Spain;2017;39528,92539;216932;23046661;0,8837213;0,8292834
